lex	word	POS	род	падеж	число	вид	переходность	время	наклонение	лицо	форма прилагательных	залог	степень сравнения
выстрел	выстрел	S	муж	вин	ед								
стреляться	стрелялись	V			мн	несов	нп	прош	изъяв				
мы	мы	SPRO		им	мн					1-л			
баратынский	баратынский	S	муж	им	ед								
я	я	SPRO		им	ед					1-л			
поклясться	поклялся	V	муж		ед	сов	нп	прош	изъяв				
застреливать	застрелить	V				сов	пе		инф				
он	его	SPRO	муж	вин	ед					3-л			
по	по	PR											
право	праву	S	сред	дат	ед								
дуэль	дуэли	S	жен	пр	ед								
за	за	PR											
он	ним	SPRO	муж	твор	ед					3-л			
оставаться	остался	V	муж		ед	сов	нп	прош	изъяв				
еще	еще	ADV											
мой	мой	APRO	муж	вин	ед								
выстрел	выстрел	S	муж	вин	ед								
вечер	вечер	S	муж	вин	ед								
на	на	PR											
бивуак	бивуаке	S	муж	пр	ед								
мы	мы	SPRO		им	мн					1-л			
стоять	стояли	V			мн	несов	нп	прош	изъяв				
в	в	PR											
местечко	местечке	S	сред	пр	ед								
жизнь	жизнь	S	жен	вин	ед								
армейский	армейского	A	муж	вин	ед						полн		
офицер	офицера	S	муж	вин	ед								
известный	известна	A	жен		ед						кр		
утро	утром	S	сред	твор	ед								
учение	ученье	S	сред	пр	ед								
манеж	манеж	S	муж	вин	ед								
обед	обед	S	муж	вин	ед								
у	у	PR											
полковой	полкового	A	муж	вин	ед						полн		
командир	командира	S	муж	вин	ед								
или	или	CONJ											
в	в	PR											
жидовский	жидовском	A	муж	пр	ед						полн		
трактир	трактире	S	муж	пр	ед								
вечер	вечером	S	муж	твор	ед								
пунш	пунш	S	муж	вин	ед								
и	и	CONJ											
карта	карты	S	жен	вин	мн								
в	в	S		пр	мн								
не	не	PART											
быть	было	V	сред		ед	несов	нп	прош	изъяв				
ни	ни	PART											
один	одного	ANUM	муж	вин	ед								
открытый	открытого	A	муж	вин	ед						полн		
дом	дома	S	муж	вин	мн								
ни	ни	CONJ											
один	одной	APRO	жен	пр	ед								
невеста	невесты	S	жен	род	ед								
мы	мы	SPRO		им	мн					1-л			
собираться	собирались	V			мн	несов	нп	прош	изъяв				
друг	друг	S	муж	им	ед								
у	у	PR											
друг	друга	S	муж	вин	ед								
где	где	ADVPRO											
кроме	кроме	PR											
свой	своих	APRO		пр	мн								
мундир	мундиров	S	муж	род	мн								
не	не	PART											
видать	видали	V			мн	несов	пе	прош	изъяв				
ничто	ничего	SPRO	сред	род	ед								
один	один	APRO	муж	вин	ед								
только	только	PART											
человек	человек	S	муж	вин	мн								
принадлежать	принадлежал	V	муж		ед	несов	нп	прош	изъяв				
наш	нашему	APRO	муж	дат	ед								
общество	обществу	S	сред	дат	ед								
не	не	PART											
быть	будучи	V				несов	нп	непрош	деепр				
военный	военным	A	муж	дат	мн						полн		
он	ему	SPRO	муж	дат	ед					3-л			
быть	было	V	сред		ед	несов	нп	прош	изъяв				
около	около	PR											
тридцать	тридцати	NUM		пр									
пять	пяти	NUM		пр									
год	лет	S	муж	род	мн								
и	и	CONJ											
мы	мы	SPRO		им	мн					1-л			
за	за	PR											
то	то	SPRO	сред	вин	ед								
почитать	почитали	V			мн	несов	пе	прош	изъяв				
он	его	SPRO	муж	вин	ед					3-л			
старик	стариком	S	муж	твор	ед								
опытность	опытность	S	жен	вин	ед								
давать	давала	V	жен		ед	несов	пе	прош	изъяв				
он	ему	SPRO	муж	дат	ед					3-л			
перед	перед	PR											
мы	нами	SPRO		твор	мн					1-л			
многий	многие	APRO		вин	мн						полн		
преимущество	преимущества	S	сред	вин	мн								
к	к	PR											
то	тому	SPRO	сред	дат	ед								
же	же	PART											
его	его	APRO	жен	пр	мн								
обыкновенный	обыкновенная	A	жен	им	ед						полн		
угрюмость	угрюмость	S	жен	вин	ед								
крутой	крутой	A	муж	вин	ед						полн		
нрав	нрав	S	муж	вин	ед								
и	и	CONJ											
злой	злой	A	муж	вин	ед						полн		
язык	язык	S	муж	вин	ед								
иметь	имели	V			мн	несов	пе	прош	изъяв				
сильный	сильное	A	сред	вин	ед						полн		
влияние	влияние	S	сред	вин	ед								
на	на	PR											
молодой	молодые	A		вин	мн						полн		
наш	наши	APRO		им	мн								
ум	умы	S	муж	вин	мн								
какой-то	какая-то	APRO	жен	им	ед								
таинственность	таинственность	S	жен	вин	ед								
окружать	окружала	V	жен		ед	несов	пе	прош	изъяв				
его	его	APRO	жен	пр	мн								
судьба	судьбу	S	жен	вин	ед								
он	он	SPRO	муж	им	ед					3-л			
казаться	казался	V	муж		ед	несов	нп	прош	изъяв				
русский	русским	A	муж	дат	мн						полн		
а	а	CONJ											
носить	носил	V	муж		ед	несов	пе	прош	изъяв				
иностранный	иностранное	A	сред	вин	ед						полн		
имя	имя	S	сред	вин	ед								
некогда	некогда	ADVPRO											
он	он	SPRO	муж	им	ед					3-л			
служить	служил	V	муж		ед	несов	пе	прош	изъяв				
в	в	PR											
гусар	гусарах	S	муж	пр	мн								
и	и	CONJ											
даже	даже	PART											
счастливо	счастливо	ADV											
никто	никто	SPRO	муж	им	ед								
не	не	PART											
знать	знал	V	муж		ед	несов	пе	прош	изъяв				
причина	причины	S	жен	вин	мн								
побуждать	побудившей	V	жен	пр	ед	сов		прош	прич		полн	действ	
он	его	SPRO	муж	вин	ед					3-л			
выходить	выйти	V				сов	нп		инф				
в	в	PR											
отставка	отставку	S	жен	вин	ед								
и	и	CONJ											
поселяться	поселиться	V				сов	нп		инф				
в	в	PR											
бедный	бедном	A	муж	пр	ед						полн		
местечко	местечке	S	сред	пр	ед								
где	где	ADVPRO											
жить	жил	V	муж		ед	несов	нп	прош	изъяв				
он	он	SPRO	муж	им	ед					3-л			
вместе	вместе	ADV											
и	и	CONJ											
бедно	бедно	ADV											
и	и	CONJ											
расточительный	расточительно	A	сред		ед						кр		
ходить	ходил	V	муж		ед	несов	нп	прош	изъяв				
вечно	вечно	ADV											
пешком	пешком	ADV											
в	в	PR											
изношенный	изношенном	A	муж	пр	ед						полн		
черный	черном	A	муж	пр	ед						полн		
